date,station,altitude,average_temperature,rainfall,minimum_temperature,maximum_temperature,average_wind_speed,maximum_ultraviolet_index,maximum_pressure,minimum_pressure,wind_direction,maximum_wind_speed
2006-01-20,2462,1894,5.8,0.0,2.1,9.6,0.0,8.5,816.9,814.7,,
2006-01-20,3100B,540,5.0,0.0,-0.1,10.2,2.8,,,,99.0,7.2
2006-01-20,3110C,1030,5.5,0.1,-0.9,11.9,1.1,,904.6,900.8,16.0,4.4
2006-01-20,3111D,1450,4.7,0.0,-0.6,10.0,1.1,,864.8,861.9,31.0,5.6
2006-01-20,3129,609,6.0,0.0,0.3,11.6,2.8,7.3,958.5,954.8,20.0,8.9
2006-01-20,3175,607,6.3,0.0,0.6,12.0,2.2,8.0,954.2,950.5,99.0,5.3
2006-01-20,3191E,1004,6.6,0.2,3.6,9.6,1.4,7.4,909.9,906.8,12.0,6.7
2006-01-20,3194U,664,6.6,0.3,1.1,12.1,0.3,,,,99.0,4.2
2006-01-20,3195,667,7.5,0.1,4.4,10.6,1.7,7.4,948.0,943.5,6.0,5.0
2006-01-20,3196,690,6.1,0.0,1.8,10.4,1.9,8.1,945.9,942.4,14.0,5.6
2006-01-20,3200,620,5.7,0.0,1.0,10.4,2.2,4.4,954.1,950.5,15.0,6.1
2006-01-20,3266A,1532,3.8,0.0,-1.3,9.0,2.2,,855.3,851.8,28.0,6.7
2006-01-20,3338,763,6.8,0.0,1.2,12.3,0.0,,941.2,938.0,13.0,3.9
2006-01-21,2462,1894,5.6,0.0,1.6,9.7,0.8,8.5,816.9,814.9,,
2006-01-21,3100B,540,5.7,0.0,3.8,7.6,1.1,,,,99.0,4.4
2006-01-21,3110C,1030,2.0,0.0,-2.7,6.8,0.6,,904.9,901.6,20.0,2.5
2006-01-21,3111D,1450,-1.3,0.1,-3.4,0.8,1.7,,864.2,862.4,1.0,6.7
2006-01-21,3129,609,4.8,0.0,1.6,8.1,1.7,0.5,959.1,957.0,99.0,5.0
2006-01-21,3175,607,5.8,0.0,3.6,8.0,1.9,0.2,954.4,952.7,7.0,7.2
